id,stall_id,name,category,price,portion_weight_g
1,1,红烧肉饭,主食,21.08,170
2,1,番茄炒蛋,热菜,21.29,190
3,1,宫保鸡丁,套餐,35.44,410
4,1,清炒时蔬,小吃,9.18,340
5,1,香菇鸡饭,汤羹,18.94,490
6,2,牛肉面,主食,3.14,150
7,2,鸡蛋灌饼,热菜,13.96,530
8,2,炸酱面,套餐,24.56,490
9,2,鲜肉包,小吃,22.09,310
10,2,酸辣粉,汤羹,17.62,160
11,3,烧鸭饭,主食,20.75,650
12,3,豉汁排骨,热菜,6.26,650
13,3,白切鸡,套餐,4.29,610
14,3,云吞面,小吃,33.96,410
15,3,蒸水蛋,汤羹,23.3,600
16,4,鸡胸沙拉,主食,12.37,250
17,4,藜麦饭,热菜,29.43,210
18,4,全麦三明治,套餐,8.64,220
19,4,南瓜汤,小吃,11.38,160
20,4,水果酸奶,汤羹,7.9,610
21,5,大盘鸡,主食,18.77,260
22,5,羊肉抓饭,热菜,6.87,650
23,5,兰州拉面,套餐,29.59,410
24,5,肉夹馍,小吃,13.71,650
25,5,孜然土豆,汤羹,23.68,310
26,6,黑椒意面,主食,12.05,560
27,6,烤鸡套餐,热菜,15.52,330
28,6,牛肉汉堡,套餐,11.69,630
29,6,奶油蘑菇汤,小吃,7.44,420
30,6,蔬菜披萨,汤羹,33.81,650
