id,order_id,dish_id,quantity,unit_price
1,1,6,2,3.14
2,1,10,3,17.62
3,2,22,1,6.87
4,2,25,2,23.68
5,3,17,1,29.43
6,3,20,3,7.9
7,4,16,3,12.37
8,4,18,1,8.64
9,5,11,1,20.75
10,5,12,1,6.26
11,6,27,1,15.52
12,6,29,1,7.44
13,7,1,1,21.08
14,7,4,3,9.18
15,8,11,1,20.75
16,8,15,1,23.3
17,9,26,3,12.05
18,9,28,2,11.69
19,10,27,3,15.52
20,10,30,1,33.81
21,11,22,3,6.87
22,11,24,3,13.71
23,12,1,2,21.08
24,12,4,1,9.18
25,13,24,1,13.71
26,13,25,3,23.68
27,14,2,1,21.29
28,14,4,1,9.18
29,15,6,1,3.14
30,15,7,2,13.96
31,16,28,2,11.69
32,16,29,3,7.44
33,17,27,1,15.52
34,17,28,2,11.69
35,18,28,3,11.69
36,18,29,1,7.44
37,19,16,3,12.37
38,19,18,1,8.64
39,20,16,3,12.37
40,20,20,1,7.9
41,21,21,3,18.77
42,21,22,1,6.87
43,22,23,2,29.59
44,22,25,3,23.68
45,23,14,3,33.96
46,23,15,2,23.3
47,24,21,1,18.77
48,24,23,1,29.59
49,25,22,3,6.87
50,25,24,2,13.71
51,26,6,1,3.14
52,26,7,1,13.96
53,27,22,1,6.87
54,27,23,3,29.59
55,28,13,1,4.29
56,28,14,1,33.96
57,29,22,3,6.87
58,29,24,2,13.71
59,29,25,3,23.68
60,30,26,1,12.05
61,30,27,3,15.52
62,31,3,3,35.44
63,31,5,1,18.94
64,32,2,1,21.29
65,32,3,3,35.44
66,33,22,3,6.87
67,33,24,3,13.71
68,34,16,1,12.37
69,34,20,3,7.9
70,35,12,2,6.26
71,35,13,3,4.29
72,35,15,1,23.3
73,36,12,3,6.26
74,36,13,1,4.29
75,37,11,3,20.75
76,37,12,2,6.26
77,38,17,2,29.43
78,38,20,2,7.9
79,39,23,2,29.59
80,39,24,3,13.71
81,40,11,3,20.75
82,40,15,2,23.3
