id,dish_id,recorded_date,waste_weight_g,reason
1,3,2026-03-23,132,备餐过量
2,6,2026-03-18,22,制作失败
3,16,2026-03-02,54,售后退回
4,10,2026-03-11,9,临期报废
5,10,2026-03-06,9,其他
6,13,2026-03-16,165,临期报废
7,3,2026-03-07,29,制作失败
8,25,2026-03-05,33,其他
9,28,2026-03-24,720,备餐过量
10,17,2026-03-03,249,备餐过量
11,29,2026-03-09,177,制作失败
12,25,2026-03-08,130,临期报废
13,8,2026-03-30,211,制作失败
14,24,2026-03-09,422,其他
15,19,2026-03-10,60,售后退回
16,17,2026-03-05,124,备餐过量
17,11,2026-03-31,85,售后退回
18,21,2026-03-28,168,制作失败
19,29,2026-03-11,219,制作失败
20,23,2026-03-26,70,售后退回
21,4,2026-03-10,396,备餐过量
22,17,2026-03-30,212,售后退回
23,13,2026-03-24,107,制作失败
24,7,2026-03-06,93,备餐过量
25,2,2026-03-02,50,备餐过量
26,18,2026-03-04,81,备餐过量
27,25,2026-03-26,119,备餐过量
28,22,2026-03-07,304,备餐过量
29,29,2026-03-19,68,其他
30,21,2026-03-13,31,售后退回
31,28,2026-03-24,540,临期报废
32,19,2026-03-18,82,备餐过量
33,27,2026-03-11,147,备餐过量
34,1,2026-03-19,53,制作失败
35,2,2026-03-27,12,售后退回
36,1,2026-03-19,50,临期报废
37,8,2026-03-04,180,临期报废
38,25,2026-03-31,85,备餐过量
39,19,2026-03-15,12,备餐过量
40,21,2026-03-28,51,制作失败
41,15,2026-03-16,201,临期报废
42,4,2026-03-06,396,其他
43,23,2026-03-08,47,备餐过量
44,17,2026-03-13,110,备餐过量
45,16,2026-03-02,59,制作失败
46,8,2026-03-28,48,其他
47,1,2026-03-28,16,备餐过量
48,17,2026-03-17,267,备餐过量
49,28,2026-03-02,817,制作失败
50,26,2026-03-10,262,售后退回
51,3,2026-03-30,137,售后退回
52,26,2026-03-06,161,备餐过量
53,25,2026-03-03,22,售后退回
54,20,2026-03-30,307,备餐过量
55,29,2026-03-20,83,其他
56,12,2026-03-25,182,制作失败
57,3,2026-03-15,73,备餐过量
58,10,2026-03-27,41,备餐过量
59,21,2026-03-23,77,备餐过量
60,11,2026-03-31,71,备餐过量
61,9,2026-03-07,261,制作失败
62,2,2026-03-30,81,其他
63,15,2026-03-25,324,售后退回
64,26,2026-03-26,141,备餐过量
65,18,2026-03-19,50,制作失败
66,23,2026-03-02,206,其他
67,24,2026-03-16,371,备餐过量
68,28,2026-03-16,304,制作失败
69,6,2026-03-29,44,临期报废
70,14,2026-03-06,34,其他
71,28,2026-03-14,859,备餐过量
72,12,2026-03-31,52,备餐过量
73,24,2026-03-07,245,售后退回
74,27,2026-03-09,63,备餐过量
75,22,2026-03-13,177,售后退回
76,17,2026-03-12,69,备餐过量
77,15,2026-03-07,403,备餐过量
78,17,2026-03-10,286,备餐过量
79,18,2026-03-11,26,制作失败
80,2,2026-03-22,131,售后退回
81,18,2026-03-10,41,备餐过量
82,1,2026-03-03,71,临期报废
83,8,2026-03-02,158,备餐过量
84,25,2026-03-01,219,制作失败
85,25,2026-03-31,40,备餐过量
86,22,2026-03-30,430,备餐过量
87,11,2026-03-10,264,备餐过量
88,6,2026-03-03,21,其他
89,24,2026-03-04,312,售后退回
90,26,2026-03-31,25,其他
91,16,2026-03-18,77,其他
92,15,2026-03-12,165,备餐过量
93,17,2026-03-14,207,备餐过量
94,10,2026-03-10,73,备餐过量
